unique_step_id,battery_id,step_number,working_ion,battery_formula,formula_charge,formula_discharge,charge_material_id,discharge_material_id,charge_cif,discharge_cif,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,max_delta_volume,delta_stability,delta_fracA,total_steps_in_battery,max_voltage_step
mp-773014_Li_Step1,mp-773014_Li,1,Li,Li0-1Mn(SO4)2,Mn(SO4)2,LiMn(SO4)2,mp-773014,mp-774465,mp-773014_Li_Step1_CHG_mp-773014.cif,mp-773014_Li_Step1_DIS_mp-774465.cif,1.4322874885100867,4.668294071688112,286.1663162,558.8241162,1515.569414,0.0,0.083333333,-0.3333419748337513,0.04515732635656948,0.033944232,-0.083333333,1,0.0
mp-773028_Li_Step1,mp-773028_Li,1,Li,Li0-9Mn7Cr12O48,Mn7Cr12O48,Li9Mn7Cr12O48,mp-773028,mp-851099,mp-773028_Li_Step1_CHG_mp-773028.cif,mp-773028_Li_Step1_DIS_mp-851099.cif,0.6359026138543112,4.884076565943867,430.0356422,557.2030368,1826.790892,0.0,0.118421053,0.35481874311822187,-0.05793254626966583,-0.016165958,-0.118421053,1,0.0
mp-773181_Li_Step1,mp-773181_Li,1,Li,Li0-2Cr3WO8,Cr3WO8,Li2Cr3WO8,mp-773181,mp-775271,mp-773181_Li_Step1_CHG_mp-773181.cif,mp-773181_Li_Step1_DIS_mp-775271.cif,0.09639061285023869,4.720973088251479,599.8956727,393.6942734,2122.401974,0.0,0.142857143,0.729613679799118,-0.07325569357955417,0.086103032,-0.142857143,1,0.0
mp-773650_Li_Step1,mp-773650_Li,1,Li,Li0-2V3CuO8,V3CuO8,Li2V3CuO8,mp-775644,mp-773650,mp-773650_Li_Step1_CHG_mp-775644.cif,mp-773650_Li_Step1_DIS_mp-773650.cif,0.05368885358790143,5.014796087311586,596.6820963,520.9586607,2077.499314,0.0,0.142857143,0.34930482842437877,0.04110950898479443,0.039450149,-0.142857143,1,0.0
mp-774237_Li_Step1,mp-774237_Li,1,Li,Li4-5Cr2Ni5O12,Li4Cr2Ni5O12,Li5Cr2Ni5O12,mp-780469,mp-774237,mp-774237_Li_Step1_CHG_mp-780469.cif,mp-774237_Li_Step1_DIS_mp-774237.cif,0.38115323588405847,3.7828316142723084,207.4497453,168.0135536,811.6938842,0.173913043,0.208333333,0.7700241489692732,-0.29636036933507454,0.049520569,-0.03442029,1,0.0
mp-774383_Li_Step1,mp-774383_Li,1,Li,Li0-3V4(OF3)3,V4(OF3)3,Li3V4(OF3)3,mp-774383,mp-778226,mp-774383_Li_Step1_CHG_mp-774383.cif,mp-774383_Li_Step1_DIS_mp-778226.cif,-0.3641859730082015,5.205464326950681,611.4969163,531.4325145,1792.781157,0.0,0.157894737,-1.209846619545764,-0.22418293502563552,-0.094241501,-0.157894737,1,0.0
mp-774171_Li_Step1,mp-774171_Li,1,Li,Li1.5-2MnSiO4,Li3Mn2(SiO4)2,Li2MnSiO4,mp-774171,mp-780709,mp-774171_Li_Step1_CHG_mp-774171.cif,mp-774171_Li_Step1_DIS_mp-780709.cif,0.4462040046871091,4.43419817209934,246.8785937,332.9996563,987.1040944,0.2,0.25,0.5341644148886479,-0.3781801672000653,0.078014813,-0.05,1,0.0
mp-774707_Li_Step1,mp-774707_Li,1,Li,Li0-5Mn5(SeO3)8,Mn5(SeO3)8,Li5Mn5(SeO3)8,mp-776755,mp-774707,mp-774707_Li_Step1_CHG_mp-776755.cif,mp-774707_Li_Step1_DIS_mp-774707.cif,0.5540367946668909,4.626276101869924,374.3942967,418.7165931,1550.088202,0.0,0.119047619,0.3844262629116415,-0.056793772341264995,0.080246728,-0.119047619,1,0.0
mp-774387_Li_Step1,mp-774387_Li,1,Li,Li0-1V4OF11,V4OF11,LiV4OF11,mp-774387,mp-777640,mp-774387_Li_Step1_CHG_mp-774387.cif,mp-774387_Li_Step1_DIS_mp-777640.cif,-0.4888557282668443,4.135409555055874,203.8461793,170.2564648,564.187972,0.0,0.058823529,-1.2809569892592099,-0.38761360109006704,-0.04921919,-0.058823529,1,0.0
mp-774685_Li_Step1,mp-774685_Li,1,Li,Li0-3Mn5FeO12,Mn5FeO12,Li3Mn5FeO12,mp-776272,mp-774685,mp-774685_Li_Step1_CHG_mp-776272.cif,mp-774685_Li_Step1_DIS_mp-774685.cif,0.594775388320997,5.0038041468480445,601.6714569,620.6041729,2523.332848,0.0,0.142857143,0.3233109130874495,-0.08640975801319897,0.07300902,-0.142857143,1,0.0
